"","Hugo_Symbol","bladder","breast","cervix","colon","kidney","liver","lung","prostate","salivary","stomach","thyroid","uterus","max_easophagus","Min","Quantile.1","Median","Quantile.3","Max"
"1","C4BPA",0.28,60.39,27.64,12.18,1.98,21172.91,7032.37,1.62,1.83,1.97,0.95,15,1.685,0.28,1.685,1.98,27.64,21172.91
"2","ACOT12",0.61,0.89,2.41,0.53,40.5,1923.14,0,2.745,0.4,0,0,0.915,0.61,0,0.4,0.61,2.41,1923.14
"3","SPINK7",22.59,0.67,5.59,1.14,4.625,0.91,2.07,1.04,414.87,70.775,1.71,0.29,10512.82,0.29,1.04,2.07,22.59,10512.82
"4","UGT1A1",156.59,0,4.58,47.5,1229.545,3820.7,0,9.97,35,58.3,0.58,0,123.5,0,0.58,35,123.5,3820.7
"5","SLC28A1",0.96,4.58,8.13,0.97,362.925,1259.69,0.54,0.565,2.56,5.105,0.93,3.26,1.25,0.54,0.96,2.56,5.105,1259.69
"6","APOA1",6.84,3.29,10.79,10.88,20.485,546551.29,41.52,9.165,2.71,531.055,104.785,53.205,29.59,2.71,9.165,20.485,53.205,546551.29
"7","FABP1",0.07,2.05,4.43,17681.08,1721.645,233003.78,3.23,2.19,1.43,260.405,4.39,2.76,16.94,0.07,2.19,4.39,260.405,233003.78
"8","GCKR",3.14,5.15,4.43,3.14,3.36,2193.99,4.54,6.78,6.46,85.225,3.35,3.015,88.88,3.015,3.35,4.54,6.78,2193.99
"9","PLGLB2",12.83,16.39,26.86,12,10.445,10585.95,9.2,14.62,6.21,9.34,26.005,20.26,24.99,6.21,10.445,14.62,24.99,10585.95
"10","CYP2C8",4.21,10.63,7.28,6.67,13.52,39510.91,9.06,6.435,2.46,23.335,26.1,10.12,8.78,2.46,6.67,9.06,13.52,39510.91
"11","SDS",27.25,35,17.13,52.08,12.075,14163.58,87.03,22.425,21.78,22.26,27.64,11.045,7.34,7.34,17.13,22.425,35,14163.58
"12","ASPDH",2.92,5.41,3.03,6.78,310.915,5366.37,6.26,5.255,2.58,19.615,9.41,3.775,10.55,2.58,3.775,6.26,10.55,5366.37
"13","CAPN14",18.29,2.58,6.06,1.14,4.28,0.38,2.29,2.61,100.83,5.52,1.31,1.995,2609.3,0.38,1.995,2.61,6.06,2609.3
"14","CLDN18",3.06,2.43,0.82,1.93,2.63,0.58,7485.11,1.25,0.72,4109.245,1.98,2.03,33.06,0.58,1.25,2.03,3.06,7485.11
"15","S100A8",1662.49,514.56,466.88,356.05,275.345,713.11,6426.31,296.14,61146.25,1454.705,272.425,88.885,365622.68,88.885,296.14,514.56,1662.49,365622.68
"16","TF",36.53,1268.46,14.78,43.02,17.425,237899.7,31,140.575,961.07,41.385,23.165,30.78,583.07,14.78,30.78,41.385,583.07,237899.7
"17","GJB6",81.14,1.75,10.24,0.99,1.93,1,1.41,3.015,529.06,5.11,72.775,4.86,3212.66,0.99,1.75,4.86,72.775,3212.66
"18","APOC2",24.28,94.01,92.7,48.18,152.965,155870.75,1143.1,46.84,54.33,87.955,26.57,28.96,17.9,17.9,28.96,54.33,94.01,155870.75
"19","SLC26A7",4.5,11.82,14.45,6.46,668.45,2.07,4.58,5.04,1.93,18.03,8963.67,14.24,12.36,1.93,4.58,11.82,14.45,8963.67
"20","PKLR",0,0.29,0,6.84,236.755,2032.85,0.17,0.435,1.31,2.12,0.4,0.4,0.73,0,0.29,0.435,2.12,2032.85
"21","SPRR3",231.32,5.68,12.93,7.34,1.365,4.7,16.03,7.91,12415.75,62.12,4.72,0.81,324980.94,0.81,4.72,7.91,62.12,324980.94
"22","ORM1",2.68,7.34,142.01,7,3.205,851707.37,246.28,160.46,2.58,49.215,14.35,48.695,39.79,2.58,7,39.79,142.01,851707.37
"23","OIT3",0.6,0.58,0.96,3.82,11.085,1023,7.17,0.22,0.97,3.645,1.26,0.99,0.62,0.22,0.62,0.99,3.82,1023
"24","NR1H4",26.86,0,7.57,24.11,618.01,1769.57,2.76,4.39,0,12.41,0,1.34,1.51,0,1.34,4.39,24.11,1769.57
"25","SERPINA11",0,53.57,15.8,0,0,9606.86,0,7.6,11.13,0,0,0,4.9,0,0,0,11.13,9606.86
"26","CRP",1.73,1.73,4.1,2.18,1.675,114897.47,2.56,1.575,1.31,1.82,1.455,1.725,7.46,1.31,1.675,1.73,2.56,114897.47
"27","SCEL",7.4,6.46,4.74,7.94,8.755,0.79,1651,2.12,599.49,8.545,33.66,1.04,5711.87,0.79,4.74,7.94,33.66,5711.87
