"","Hugo_Symbol","bladder","breast","cervix","colon","kidney","liver","lung","prostate","salivary","stomach","thyroid","uterus","max_easophagus","Min","Quantile.1","Median","Quantile.3","Max"
"1","CTC-435M10.3",0,0,0,0,0,0,6.11,0,0,0,0,0,0,0,0,0,0,6.11
"2","C4BPA",0.28,60.39,27.64,12.18,1.98,21172.91,7032.37,1.62,1.83,1.97,0.95,15,1.685,0.28,1.685,1.98,27.64,21172.91
"3","ACOT12",0.61,0.89,2.41,0.53,40.5,1923.14,0,2.745,0.4,0,0,0.915,0.61,0,0.4,0.61,2.41,1923.14
"4","SPINK7",22.59,0.67,5.59,1.14,4.625,0.91,2.07,1.04,414.87,70.775,1.71,0.29,10512.82,0.29,1.04,2.07,22.59,10512.82
"5","TBX20",98.73,0,0,0,0,2.97,0,0,0,0,0,0,1.97,0,0,0,0,98.73
"6","RP11-362K2.2",0,1.48,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,3.2
"7","PSG9",0,0,0,0,0.7,0,0,0,0.43,0,0,0,0,0,0,0,0,0.7
"8","AC091801.1",7.11,8.92,106.63,0,0,0,0,0,0,0.565,0,7.795,4.84,0,0,0,7.11,106.63
"9","SNTN",0,0,0,0,0,0,181.28,0,0,2.825,0,0,0,0,0,0,0,181.28
"10","HIST1H1B",0,0,10.88,1.58,0,0,0.68,0,0,0,0,0,2.39,0,0,0,0.68,10.88
"11","UGT1A1",156.59,0,4.58,47.5,1229.545,3820.7,0,9.97,35,58.3,0.58,0,123.5,0,0.58,35,123.5,3820.7
"12","DEFA5",0,0,0,29.06,0,0,0,0,0.62,0,0,0,0,0,0,0,0,29.06
"13","POU3F3",0,3.14,0,6.21,794.22,0,0.09,1.99,2.39,0.54,0.18,0,15.115,0,0,0.54,3.14,794.22
"14","SLC28A1",0.96,4.58,8.13,0.97,362.925,1259.69,0.54,0.565,2.56,5.105,0.93,3.26,1.25,0.54,0.96,2.56,5.105,1259.69
"15","BX649567.1",0,0,0,0,0,0,0,0,0,0,1.465,0,0,0,0,0,0,1.465
"16","OR1J1",0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53
"17","APOA1",6.84,3.29,10.79,10.88,20.485,546551.29,41.52,9.165,2.71,531.055,104.785,53.205,29.59,2.71,9.165,20.485,53.205,546551.29
"18","PCDHB1",0,0,0,0.33,5.845,0,0,0,0,0,0,0,0,0,0,0,0,5.845
"19","FABP1",0.07,2.05,4.43,17681.08,1721.645,233003.78,3.23,2.19,1.43,260.405,4.39,2.76,16.94,0.07,2.19,4.39,260.405,233003.78
"20","GCKR",3.14,5.15,4.43,3.14,3.36,2193.99,4.54,6.78,6.46,85.225,3.35,3.015,88.88,3.015,3.35,4.54,6.78,2193.99
"21","PLGLB2",12.83,16.39,26.86,12,10.445,10585.95,9.2,14.62,6.21,9.34,26.005,20.26,24.99,6.21,10.445,14.62,24.99,10585.95
"22","CYP2C8",4.21,10.63,7.28,6.67,13.52,39510.91,9.06,6.435,2.46,23.335,26.1,10.12,8.78,2.46,6.67,9.06,13.52,39510.91
"23","AL590714.1",0,0,0,0,0,11827.67,0,0,0,0,0,0,0,0,0,0,0,11827.67
