"Hugo_Symbol","bladder","breast","cervix","colon","kidney","liver","lung","prostate","salivary","stomach","thyroid","uterus","max_easophagus"
"CUL5",206.94,297.17,248,193.01,339.175,149.12,214.27,264.035,242.88,218.79,269.6,263.115,221.86
"REV1",591.22,620.67,587.13,432.53,364.845,232.94,555.41,529.06,395.18,388.37,658.395,618.55,769.69
"ZNF428",718.08,543.96,1457.23,743.43,860.1,743.43,718.08,1100.315,532.74,583.085,1199.98,1578.235,995
"CX3CR1",13.42,197.09,43.63,12.18,50.11,21.47,96.01,55.295,48.52,17.9,21.705,39.655,7.815
"FAXC",332.14,159.9,50.98,249.73,64.405,0.21,99.43,285.03,98.04,76.17,49.735,238.69,605.77
"PKP2",84.63,312,108.14,279.14,149.155,299.25,47.17,295.12,476.71,397.93,11.255,127.05,232.94
"BNIP2",1175.27,1487.87,1268.46,796.86,857.23,769.69,1397.83,902.905,902.89,813.63,998.465,1012.415,981.29
"HOXB7",244.57,241.19,417.77,483.38,1155.065,12.64,81.71,73.8,14.45,109.28,12.5,327.56,29.805
"GRIN3A",2.29,6.21,8.19,7.75,3.38,2.18,4.43,10.045,2.71,2.825,3.5,4.15,6.06
"FCRL5",2.89,29.91,22.43,28.86,3.48,9.78,30.78,2.915,17.13,64.8,5.235,2.835,27.64
"GPR150",4.28,4.94,5.73,5.73,1.245,1.46,5.92,7.485,1.73,7.72,1.93,1.93,7.69
"ADORA2A",62.12,50.98,76.17,92.7,100.365,96.01,242.88,49.395,32.36,83.745,65.72,81.19,88.88
"YBX2",24.11,98.04,120.94,178.77,37.65,38.67,4.7,37.19,32.82,68.07,63.45,30.345,111.21
"CD1B",2.53,3.47,8.13,1.66,0,0,15.11,0,8.92,2.275,0,0,1.95
"MORC2",518.15,525.39,567.1,361.04,291.06,348.71,361.04,466.88,361.04,288.015,389.72,603.68,527.225
"RHBG",25.72,2.23,1.48,0,337.31,133.36,0.39,3.26,12.45,6.135,0.995,0,70.01
"GART",642.59,896.64,551.56,679.29,640.83,438.59,587.13,579.04,836.53,612.11,656.11,559.28,902.89
"CLCN2",41.22,51.35,69.03,346.29,100.83,48.87,49.56,83.745,45.21,103.69,115.97,103.69,114.36
"IFIH1",127,291.04,169.07,185.11,239.545,181.28,299.25,195.04,236.21,209.11,192.34,218.03,166.73
"CTAGE8",23.25,78.34,50.63,44.25,91.41,27.84,52.82,40.5,63.45,29.805,150.17,28.96,115.97
"AL035252.1",241.19,255,320.8,591.22,235.025,466.88,325.29,866.07,397.93,275.28,228.925,228.925,265.87
"SMYD3",409.15,371.22,395.18,244.57,371.23,154.42,435.55,321.915,190.34,235.39,665.29,403.655,283.05
"NARF",1540.37,1066.48,1216.75,1233.75,857.23,753.83,1081.39,1171.205,1216.75,991.56,1051.79,1093.02,1175.27
"FAM177A1",1477.58,1199.98,1277.29,1950,1645.375,1359.57,2400.97,2303.12,1388.16,1304.18,1304.15,944.595,1304.15
"PLGLB1",38.12,64.8,73.03,47.5,33.785,3103.19,34.02,39.655,17,40.645,90.455,86.775,96.01
"CTC-435M10.3",0,0,0,0,0,0,6.11,0,0,0,0,0,0
"AC079354.1",0.44,0.85,2.53,0.74,0.34,7.63,8.38,0.25,0,0.65,0,1.59,0.845
"C4BPA",0.28,60.39,27.64,12.18,1.98,21172.91,7032.37,1.62,1.83,1.97,0.95,15,1.685
"SORD",555.41,320.8,305.55,262.2,1239.71,7803.01,191.67,7081.29,733.19,667.605,7407.72,225.755,698.41
"PMP2",17,1.68,5.59,11.13,2.825,1.48,0.74,16.33,4.86,7.34,3.86,2.505,26.57
"UBTD2",273.37,460.44,595.34,307.69,296.185,161.02,305.55,286.02,206.94,241.19,242.035,457.265,248.865
"BTRC",183.82,248,162.14,137.14,187.71,87.03,138.1,250.605,224.97,146.03,189.02,190.34,239.52
"PAGE4",0,0,23.42,0,6.525,0,0,2126.9,0,0,0,1040.905,15.975
"CTB-58E17.5",8.32,8.06,17.9,8.65,22.59,2.81,5.45,23.08,6.52,7.43,27.25,12.225,6.94
"LIFR",299.25,759.08,379.04,143.01,499.095,221.86,647.07,642.59,92.05,319.685,658.395,667.605,516.355
"ADPRM",264.03,314.17,329.84,211.31,180.66,193.01,199.85,512.78,164.42,222.635,305.55,339.15,238.69
"CCDC25",551.56,791.35,470.14,567.1,791.425,633.73,525.39,616.39,575.03,633.73,733.19,595.34,563.18
"NDN",629.35,896.64,4704.07,738.29,412.485,105.89,674.59,925.09,301.33,409.185,527.225,1923.19,1019.465
"SLFN12",63.89,166.73,48.52,55.49,78.37,20.11,128.79,57.485,55.89,54.14,140.53,116.375,93.68
"ZC3H18",473.41,438.59,551.56,607.87,353.595,332.14,525.39,478.375,480.04,497,583.07,601.58,649.325
"GSTP1",22380.2,10883.59,27174.14,12076.21,21558.68,1340.84,23656.34,13494.01,33688.23,18819.27,23169.48,14714.795,51775.15
"WDR72",14.89,3.53,24.11,4.1,1215.165,351.14,8.58,3.975,40.07,5.405,1005.415,8.715,9.78
"SPAG8",36.79,43.02,42.41,32.82,35.375,8.85,85.82,58.095,15.56,28.86,151.22,119.685,75.905
"EIF5A2",83.45,127,164.42,71.5,111.01,27.84,76.17,75.375,60.39,138.105,63.89,105.555,178.77
"PPP3CB",1081.39,1059.11,1037.29,819.3,676.97,287.01,642.59,961.095,684.02,565.14,607.87,1040.955,1077.65
"ZBTB8A",95.34,97.36,113.56,65.72,63.95,21.94,91.41,92.055,46.84,82.87,105.15,124.805,100.83
"CYP4X1",68.55,483.38,201.25,23.59,121.89,83.45,221.86,173.87,312,209.14,84.925,53.995,441.64
"PLIN2",1674.06,2645.74,1304.15,995,2591.83,12589.08,2451.44,644.83,660.68,872.12,579.04,951.13,998.465
"B3GNT9",223.41,156.59,470.14,116.78,224.295,43.63,255,337.965,115.97,180.66,718.08,298.22,336.79
"THNSL1",51.71,97.36,89.51,49.21,187.71,236.21,44.25,70.26,55.1,41.96,138.585,105.89,40.07
"AKR1B15",22.43,24.81,2.27,3.44,0.39,0,0,1.21,88.26,39.665,5.45,0,93.35
"TMEM184A",209.84,108.14,31.22,117.6,124.875,329.84,62.56,316.37,543.96,388.39,20.71,25.635,2976.74
"PEX19",1259.69,2075.59,1044.52,1051.79,1622.63,1857.6,1088.92,1383.365,896.64,954.43,1350.18,1016.025,1216.78
"WDR4",170.25,147.06,155.5,147.06,132.9,100.83,127.89,128.34,218.79,135.715,181.28,148.09,275.28
"ACOT12",0.61,0.89,2.41,0.53,40.5,1923.14,0,2.745,0.4,0,0,0.915,0.61
"DYNC1I1",500.46,62.56,111.21,113.56,47.34,6.52,22.26,136.2,23.76,33.18,63.45,68.31,144.01
"GPT",18.84,143.01,16.39,325.29,502.885,4066.71,18.56,50.99,236.21,523.575,31.785,23.17,135.24
"VMO1",66.65,39.5,68.55,48.18,78.41,242.88,384.34,72.52,114.36,38.95,31.22,62.845,34.75
"MARCH4",0,0,1.91,3.99,1.115,0,2.1,1.045,0,4.72,0.26,0,0.88
"AXIN1",387.02,279.14,400.71,521.76,232.94,170.25,351.14,341.515,363.56,367.37,377.725,434.04,435.55
"MANBAL",2061.24,1498.22,1819.35,1757.34,1782.57,674.59,1397.83,2311.135,1437.15,1482.725,1950,2609.3,1991
"FUT1",44.57,67.59,48.18,10.63,37.86,10.47,134.3,47.17,67.12,116.78,32.36,39.645,88.26
"MKS1",220.32,318.57,343.89,256.78,282.105,133.36,264.03,289.02,237.86,214.27,372.515,416.32,309.83
"KCNK15",11.91,31.9,525.39,10.16,29.35,4.58,22.26,31.67,22.92,52.82,69.52,102.97,87.34
"HOXA1",73.54,22.75,4.24,27.84,21.875,3.2,8.32,16.03,10.39,17.705,2.56,9.52,60.39
"ZBP1",10,27.64,39.79,46.84,5.15,16.27,68.55,10.675,22.43,49.215,17.705,11.82,23.25
"OAS1",890.44,460.44,348.71,909.17,420.72,791.35,753.83,284.04,896.64,866.09,191.67,251.63,1340.84
