"","Hugo_Symbol","PRAD_Median"
"1","CUL5",267.735
"2","REV1",540.205
"3","ZNF428",1008.9
"4","CX3CR1",64.59
"5","FAXC",296.14
"6","PKP2",297.17
"7","BNIP2",845.415
"8","HOXB7",44.415
"9","GRIN3A",11
"10","FCRL5",3.11
"11","GPR150",6.335
"12","ADORA2A",45.21
"13","YBX2",32.135
"14","CD1B",1.255
"15","MORC2",480.045
"16","RHBG",2.57
"17","GART",589.175
"18","CLCN2",78.615
"19","IFIH1",203.395
"20","CTAGE8",37.72
"21","AL035252.1",720.785
"22","SMYD3",306.62
"23","NARF",1191.805
"24","FAM177A1",2417.735
"25","PLGLB1",39.24
"26","CTC-435M10.3",0
"27","AC079354.1",0.38
"28","C4BPA",0.88
"29","SORD",7645.345
"30","PMP2",16.455
"31","UBTD2",284.05
"32","BTRC",247.15
"33","PAGE4",1721.815
"34","CTB-58E17.5",22.185
"35","LIFR",667.605
"36","ADPRM",495.28
"37","CCDC25",624.99
"38","NDN",941.835
"39","SLFN12",67.12
"40","ZC3H18",511
"41","GSTP1",11306.63
"42","WDR72",4.54
"43","SPAG8",60.4
"44","EIF5A2",71.59
"45","PPP3CB",957.75
"46","ZBTB8A",95.005
"47","CYP4X1",240.39
"48","PLIN2",725.595
"49","B3GNT9",349.925
"50","THNSL1",72.775
"51","AKR1B15",0.63
"52","TMEM184A",318.585
"53","PEX19",1383.365
"54","WDR4",131.52
"55","ACOT12",2.61
"56","DYNC1I1",124.81
"57","GPT",42.41
"58","VMO1",77.525
"59","MARCH4",1.21
"60","AXIN1",347.55
"61","MANBAL",2271.4
"62","FUT1",53.38
"63","MKS1",282.07
"64","KCNK15",24.91
"65","HOXA1",15.335
"66","ZBP1",10.925
"67","OAS1",296.185
"68","NLE1",228.925
"69","GPR183",157.995
"70","OR51E1",179.42
"71","BEST3",28.67
"72","ATCAY",51.715
"73","SAP30L",571.065
"74","TNFRSF11A",44.25
"75","DENND5A",842.375
"76","SASS6",44.57
"77","NKPD1",15.74
"78","GLIPR1L1",1.81
"79","GPC5",2.78
"80","TMTC3",162.71
"81","GRAP",44.57
"82","CCDC34",154.42
"83","RASA3",165.02
"84","NR4A3",107.82
"85","BYSL",288.015
"86","DCUN1D2",215.02
"87","SASH1",242.07
"88","SLC41A3",912.385
"89","KAL1",162.71
"90","SGK223",98.385
"91","SLC18B1",180.02
"92","FGD5",131.52
"93","SPINK7",0
"94","PLCXD2",135.73
"95","DEFB1",663.015
"96","CD27",55.105
"97","SLC41A2",85.26
"98","TAGLN",108741.355
"99","TBX20",0
"100","C11orf24",585.13
"101","AZGP1",36921.61
"102","C4orf51",0
"103","ZBTB9",124.805
"104","AOC2",10.51
"105","OIP5",12.18
"106","GPR63",24.11
"107","ARPC5",2082.81
"108","ANKRD36",73.03
"109","CSNK2A1",912.385
"110","LAPTM4B",686.435
"111","SP1",593.28
"112","DAW1",0.37
"113","PTH1R",70.55
"114","C10orf62",0
"115","SECTM1",476.725
"116","PLCE1",55.49
"117","TDRD12",3.955
"118","EBNA1BP2",1299.64
"119","CDK19",416.34
"120","APEH",1943.265
"121","NAB1",347.55
"122","SLC35D1",173.89
"123","SLC35E4",47.34
"124","WWP2",686.4
"125","ANKRD11",896.73
"126","PGBD2",120.1
"127","C17orf104",5.34
"128","PLCL1",120.95
"129","FRY",318.585
"130","DHRS7B",1062.795
"131","LGR6",141.04
"132","CRLF3",109.285
"133","AP003733.1",6.68
"134","TMC7",32.365
"135","CABP7",3.17
"136","NLRP6",2.06
"137","ARL6IP1",2287.2
"138","HSPA1A",6382.07
"139","C20orf112",193.685
"140","UNC13C",0.905
"141","FAT3",43.63
"142","GPD2",316.37
"143","BEST4",5.125
"144","UBR5",906.03
"145","RP1-241P17.4",19.75
"146","TMEM249",2.455
"147","MDM4",162.15
"148","S100A1",89.51
"149","CRIP2",2573.61
"150","RP11-362K2.2",0
"151","ZNF300",65.03
"152","ASH1L",346.42
"153","RABL3",389.76
"154","AC110615.1",0
"155","DUT",1775.73
"156","SCGB2A1",250.615
"157","FRMD1",1.73
"158","GLI2",38.945
"159","ZNF436",255.9
"160","LRRC58",233.755
"161","AC004381.6",176.91
"162","NOVA2",24.375
"163","NCAPD3",2386.435
"164","AK3",1204.16
"165","KPNA3",313.085
"166","C1orf110",2.97
"167","FAM203B",0.29
"168","CDKN2AIP",361.07
"169","EID2B",59.135
"170","SLC51B",23
"171","MED9",353.59
"172","TBC1D5",381.715
"173","HSPH1",1001.95
"174","ABHD12B",3.245
"175","DRAM2",1066.48
"176","KATNAL2",65.03
"177","IRGM",0.48
"178","ZBTB24",84.63
"179","SREBF1",2224.63
"180","ZC3H14",928.3
"181","ERBB3",1452.26
"182","ITGA6",964.415
"183","OR2B6",0
"184","ACOT4",34.875
"185","RIPK3",82.305
"186","CEACAM3",3.145
"187","DTNBP1",481.71
"188","PRPF38B",547.75
"189","GALNT16",135.24
"190","NOP2",414.885
"191","ZNF414",728.135
"192","LRP12",143.51
"193","WHAMM",170.26
"194","ASCC2",1143.13
"195","RCL1",208.38
"196","AZI2",1127.35
"197","TGM4",319.06
"198","RBM11",68.07
"199","PPP1R3F",142.01
"200","RP11-650K20.3",4.1
"201","NHEJ1",259.475
"202","NXT1",402.105
"203","EFNA2",1.035
"204","GFOD2",402.105
"205","COPG2",819.375
"206","ZNF248",270.54
"207","SRCIN1",37.855
"208","SPECC1L",573.04
"209","DCP2",175.69
"210","RPUSD4",336.8
"211","SFXN2",335.625
"212","DDX49",915.595
"213","LRLE1",0
"214","CNPPD1",1757.51
"215","C8orf46",77.25
"216","HEXIM2",190.34
"217","BEX5",219.66
"218","LRRC14",507.51
"219","PSG9",0.34
"220","KLF13",532.74
"221","CLDN19",2.42
"222","HIF1A",1127.35
"223","BIN3",577.035
"224","SYT9",29.6
"225","VASH2",41.69
"226","GPX4",8809.505
"227","WDR49",4.96
"228","CARS2",1077.65
"229","TRAPPC8",493.56
"230","MN1",47.04
"231","GPR171",22.505
"232","MBD1",851.22
"233","COL8A2",159.345
"234","KCTD17",307.69
"235","TTF1",316.37
"236","THBS1",1001.93
"237","CTD-2616J11.4",0.93
"238","TST",1135.2
"239","ZBTB5",163.28
"240","ICT1",730.65
"241","CGB1",0
"242","RAD51",29.695
"243","ZNF281",88.57
"244","AC091801.1",0
"245","GDF3",1.075
"246","SRP72",1350.18
"247","RPL23",46831.31
"248","TNP1",0
"249","BAK1",293.07
"250","CACNA1G",27.84
"251","TNFRSF10B",416.52
"252","TRPM3",8.3
"253","TTC33",236.215
"254","RPAIN",651.59
"255","RC3H2",221.86
"256","TCTEX1D1",9.445
"257","KDM8",126.565
"258","ULK1",542.1
"259","EWSR1",3847.29
"260","AC068533.7",11.185
"261","CDKN1A",1657.945
"262","UBAP2L",1757.385
"263","NAP1L5",161.035
"264","RASD2",387.02
"265","BCL7C",783.2
"266","RP11-12J10.3",7.14
"267","ABHD5",295.11
"268","CCDC36",4.425
"269","C6orf226",490.155
"270","AC027307.3",15.68
"271","ISL1",140.635
"272","ATP6V1C1",545.855
"273","LMF1",470.315
"274","SNTN",3.26
"275","PXMP4",333.315
"276","ETV2",53.005
"277","OR5K2",2.19
"278","RETSAT",1119.56
"279","GEMIN6",183.84
"280","VARS",597.415
"281","LRRC59",1508.685
"282","GPX7",304.51
"283","TIAF1",116.795
"284","EXO1",8.19
"285","HMX2",1.255
"286","POLK",233.755
"287","C12orf56",18.7
"288","IL33",507.51
"289","THADA",723.095
"290","CD7",95.39
"291","COL11A1",3.52
"292","MRPL46",543.96
"293","C1QBP",2303.12
"294","HAUS6",98.405
"295","NR3C1",495.28
"296","FILIP1",43.02
"297","SCD5",352.365
"298","TCF19",153.35
"299","HIST1H1B",0
"300","SBNO2",507.51
"301","NAE1",791.425
"302","SLC27A6",55.105
"303","MYO18A",507.46
"304","TRMT44",230.52
"305","RPL4",61999.83
"306","MAGEE1",89.195
"307","OSER1",775.05
"308","EEPD1",272.425
"309","CRLS1",1540.37
"310","C20orf24",1605.865
"311","VCL",2319.365
"312","DRD2",14.725
"313","FGFRL1",337.965
"314","ART4",8.22
"315","RCOR3",785.895
"316","CACUL1",297.17
"317","ZNF707",181.285
"318","PDE3A",116.88
"319","NRIP1",244.595
"320","BOLA2",177.53
"321","COG6",307.69
"322","CRK",735.74
"323","PLEKHJ1",1268.58
"324","B4GALNT2",0.28
"325","HNF4A",0.38
"326","FGFR2",805.245
"327","EIF3L",13399.51
"328","UGT1A1",9.825
"329","CHRDL1",1628.415
"330","DEFA5",0
"331","LRRC25",34.51
"332","SH2B2",53.195
"333","VCAN",203.515
"334","BCOR",440.135
"335","MSL2",262.2
"336","FCGR2A",210.635
"337","GPR158",15.05
"338","FAM114A2",319.685
"339","MCHR1",1.535
"340","CTD-2368P22.1",86.73
"341","PBX3",872.1
"342","INMT-FAM188B",39.23
"343","GAS8",379.04
"344","SPAG7",1832.01
"345","SLC8B1",449.38
"346","ADARB2",10.52
"347","ZNF518B",246.285
"348","POU3F3",0
"349","GSPT1",1407.59
"350","SP140L",191.69
"351","DTHD1",1.83
"352","EIF4EBP3",1304.15
"353","PTPN2",516.355
"354","DIEXF",80.57
"355","AK5",46.045
"356","PDHA1",1923.19
