"","sample_id","sample_type","gene_set","gsva_score"
"1","GTEX.111CU.1526.SM.5N9FS","Normal","Full Gene List",-0.00279656502203218
"2","GTEX.111CU.1526.SM.5N9FS","Normal","642 NPTR Genes",0.15719072036373
"3","GTEX.111CU.1526.SM.5N9FS","Normal","301 NPTR Genes",0.146022369833731
"4","GTEX.111CU.1526.SM.5N9FS","Normal","30 NPTR GOI",0.0387275432841173
"5","GTEX.111CU.1526.SM.5N9FS","Normal","Liver Genes",0.187065127867589
"6","GTEX.111CU.1526.SM.5N9FS","Normal","Easophagus Genes",0.174936642760082
"7","GTEX.U8XE.2526.SM.4E3IT","Normal","Full Gene List",-0.0745820050157221
"8","GTEX.U8XE.2526.SM.4E3IT","Normal","642 NPTR Genes",0.293190522195331
"9","GTEX.U8XE.2526.SM.4E3IT","Normal","301 NPTR Genes",0.30368912746938
"10","GTEX.U8XE.2526.SM.4E3IT","Normal","30 NPTR GOI",0.262341224543397
"11","GTEX.U8XE.2526.SM.4E3IT","Normal","Liver Genes",0.189264871129885
"12","GTEX.U8XE.2526.SM.4E3IT","Normal","Easophagus Genes",0.589030969228082
"13","GTEX.NPJ8.2426.SM.3MJHL","Normal","Full Gene List",-0.0370076234786011
"14","GTEX.NPJ8.2426.SM.3MJHL","Normal","642 NPTR Genes",0.22185519082608
"15","GTEX.NPJ8.2426.SM.3MJHL","Normal","301 NPTR Genes",0.27077936509356
"16","GTEX.NPJ8.2426.SM.3MJHL","Normal","30 NPTR GOI",0.00445685303555296
"17","GTEX.NPJ8.2426.SM.3MJHL","Normal","Liver Genes",0.306414650512853
"18","GTEX.NPJ8.2426.SM.3MJHL","Normal","Easophagus Genes",0.262587531576312
"19","GTEX.132QS.1126.SM.5P9GC","Normal","Full Gene List",-0.10651507039501
"20","GTEX.132QS.1126.SM.5P9GC","Normal","642 NPTR Genes",0.058108976331924
"21","GTEX.132QS.1126.SM.5P9GC","Normal","301 NPTR Genes",0.017510660449939
"22","GTEX.132QS.1126.SM.5P9GC","Normal","30 NPTR GOI",-0.0354572129191204
"23","GTEX.132QS.1126.SM.5P9GC","Normal","Liver Genes",0.0613894204112268
"24","GTEX.132QS.1126.SM.5P9GC","Normal","Easophagus Genes",-0.0660512917389467
"25","GTEX.WFG7.1826.SM.3GIL1","Normal","Full Gene List",0.0382960008036203
"26","GTEX.WFG7.1826.SM.3GIL1","Normal","642 NPTR Genes",-0.232786865312263
"27","GTEX.WFG7.1826.SM.3GIL1","Normal","301 NPTR Genes",-0.234397268651669
"28","GTEX.WFG7.1826.SM.3GIL1","Normal","30 NPTR GOI",-0.403692292749256
"29","GTEX.WFG7.1826.SM.3GIL1","Normal","Liver Genes",-0.272074230374384
"30","GTEX.WFG7.1826.SM.3GIL1","Normal","Easophagus Genes",-0.327679850225179
"31","GTEX.12BJ1.1226.SM.5LUAE","Normal","Full Gene List",-0.0157106760064192
"32","GTEX.12BJ1.1226.SM.5LUAE","Normal","642 NPTR Genes",0.00358239818234365
"33","GTEX.12BJ1.1226.SM.5LUAE","Normal","301 NPTR Genes",0.00224050576647426
"34","GTEX.12BJ1.1226.SM.5LUAE","Normal","30 NPTR GOI",-0.289416595087757
"35","GTEX.12BJ1.1226.SM.5LUAE","Normal","Liver Genes",0.00137099400471677
"36","GTEX.12BJ1.1226.SM.5LUAE","Normal","Easophagus Genes",-0.0228810940873932
"37","GTEX.111FC.2026.SM.5GZYO","Normal","Full Gene List",-0.0807039847653636
"38","GTEX.111FC.2026.SM.5GZYO","Normal","642 NPTR Genes",0.124132992240083
"39","GTEX.111FC.2026.SM.5GZYO","Normal","301 NPTR Genes",0.213430195669568
"40","GTEX.111FC.2026.SM.5GZYO","Normal","30 NPTR GOI",-0.275240216055943
"41","GTEX.111FC.2026.SM.5GZYO","Normal","Liver Genes",0.0624920006916512
"42","GTEX.111FC.2026.SM.5GZYO","Normal","Easophagus Genes",0.296645326601394
"43","GTEX.ZPU1.2026.SM.57WFI","Normal","Full Gene List",0.0173657050560623
"44","GTEX.ZPU1.2026.SM.57WFI","Normal","642 NPTR Genes",0.10376258629498
"45","GTEX.ZPU1.2026.SM.57WFI","Normal","301 NPTR Genes",0.127990100543533
"46","GTEX.ZPU1.2026.SM.57WFI","Normal","30 NPTR GOI",-0.123031620313396
"47","GTEX.ZPU1.2026.SM.57WFI","Normal","Liver Genes",-0.100999735198242
"48","GTEX.ZPU1.2026.SM.57WFI","Normal","Easophagus Genes",0.488550284316532
"49","GTEX.ZZ64.0926.SM.5E44L","Normal","Full Gene List",-0.0724062573309177
"50","GTEX.ZZ64.0926.SM.5E44L","Normal","642 NPTR Genes",0.262164563584452
"51","GTEX.ZZ64.0926.SM.5E44L","Normal","301 NPTR Genes",0.353493296362688
"52","GTEX.ZZ64.0926.SM.5E44L","Normal","30 NPTR GOI",0.068563003766209
"53","GTEX.ZZ64.0926.SM.5E44L","Normal","Liver Genes",0.374860906332223
"54","GTEX.ZZ64.0926.SM.5E44L","Normal","Easophagus Genes",0.312986456298162
"55","GTEX.WH7G.1726.SM.4LVKY","Normal","Full Gene List",0.0280750691174212
"56","GTEX.WH7G.1726.SM.4LVKY","Normal","642 NPTR Genes",0.082206651662822
"57","GTEX.WH7G.1726.SM.4LVKY","Normal","301 NPTR Genes",0.18349949664198
"58","GTEX.WH7G.1726.SM.4LVKY","Normal","30 NPTR GOI",0.00387480511279566
"59","GTEX.WH7G.1726.SM.4LVKY","Normal","Liver Genes",0.083772030913418
"60","GTEX.WH7G.1726.SM.4LVKY","Normal","Easophagus Genes",0.298839733785984
"61","GTEX.U4B1.1426.SM.4DXTX","Normal","Full Gene List",-0.0404668270037722
"62","GTEX.U4B1.1426.SM.4DXTX","Normal","642 NPTR Genes",-0.00902179728732271
"63","GTEX.U4B1.1426.SM.4DXTX","Normal","301 NPTR Genes",0.137802219002736
"64","GTEX.U4B1.1426.SM.4DXTX","Normal","30 NPTR GOI",-0.294770892659161
"65","GTEX.U4B1.1426.SM.4DXTX","Normal","Liver Genes",-0.0801645230526683
"66","GTEX.U4B1.1426.SM.4DXTX","Normal","Easophagus Genes",0.561948990507834
"67","GTEX.ZT9W.1626.SM.4YCDQ","Normal","Full Gene List",-0.0997595938130934
"68","GTEX.ZT9W.1626.SM.4YCDQ","Normal","642 NPTR Genes",0.111296557408439
"69","GTEX.ZT9W.1626.SM.4YCDQ","Normal","301 NPTR Genes",0.0303662496381144
"70","GTEX.ZT9W.1626.SM.4YCDQ","Normal","30 NPTR GOI",-0.233020876533643
"71","GTEX.ZT9W.1626.SM.4YCDQ","Normal","Liver Genes",-0.0781919443050656
"72","GTEX.ZT9W.1626.SM.4YCDQ","Normal","Easophagus Genes",0.340368942570624
"73","GTEX.ZLFU.1726.SM.4WWBU","Normal","Full Gene List",-0.0790290543469813
"74","GTEX.ZLFU.1726.SM.4WWBU","Normal","642 NPTR Genes",0.108128989067984
"75","GTEX.ZLFU.1726.SM.4WWBU","Normal","301 NPTR Genes",0.174467339295378
"76","GTEX.ZLFU.1726.SM.4WWBU","Normal","30 NPTR GOI",-0.199313870828787
"77","GTEX.ZLFU.1726.SM.4WWBU","Normal","Liver Genes",0.140999989222011
"78","GTEX.ZLFU.1726.SM.4WWBU","Normal","Easophagus Genes",0.264807230496583
"79","GTEX.S95S.1026.SM.4B64M","Normal","Full Gene List",-0.0520352255612148
"80","GTEX.S95S.1026.SM.4B64M","Normal","642 NPTR Genes",0.224129332438056
"81","GTEX.S95S.1026.SM.4B64M","Normal","301 NPTR Genes",0.263022140819351
"82","GTEX.S95S.1026.SM.4B64M","Normal","30 NPTR GOI",0.233424034427032
"83","GTEX.S95S.1026.SM.4B64M","Normal","Liver Genes",0.285928317138115
"84","GTEX.S95S.1026.SM.4B64M","Normal","Easophagus Genes",0.194567325896729
"85","GTEX.QV44.1526.SM.4R1KI","Normal","Full Gene List",-0.0142171147662469
"86","GTEX.QV44.1526.SM.4R1KI","Normal","642 NPTR Genes",0.00107168277832796
"87","GTEX.QV44.1526.SM.4R1KI","Normal","301 NPTR Genes",0.07164304527813
"88","GTEX.QV44.1526.SM.4R1KI","Normal","30 NPTR GOI",-0.127272709979797
"89","GTEX.QV44.1526.SM.4R1KI","Normal","Liver Genes",0.0527016841330303
"90","GTEX.QV44.1526.SM.4R1KI","Normal","Easophagus Genes",0.0185357509770177
"91","GTEX.11TT1.2026.SM.5EQM8","Normal","Full Gene List",-0.0299952546212723
"92","GTEX.11TT1.2026.SM.5EQM8","Normal","642 NPTR Genes",0.208074288805195
"93","GTEX.11TT1.2026.SM.5EQM8","Normal","301 NPTR Genes",0.298687913796261
"94","GTEX.11TT1.2026.SM.5EQM8","Normal","30 NPTR GOI",0.0808453398000296
"95","GTEX.11TT1.2026.SM.5EQM8","Normal","Liver Genes",0.344967575560993
"96","GTEX.11TT1.2026.SM.5EQM8","Normal","Easophagus Genes",0.414205659725222
"97","GTEX.OIZH.2026.SM.3NB1M","Normal","Full Gene List",-0.144016100598124
"98","GTEX.OIZH.2026.SM.3NB1M","Normal","642 NPTR Genes",0.236421895796717
"99","GTEX.OIZH.2026.SM.3NB1M","Normal","301 NPTR Genes",0.303501185068989
"100","GTEX.OIZH.2026.SM.3NB1M","Normal","30 NPTR GOI",0.0776188330826778
"101","GTEX.OIZH.2026.SM.3NB1M","Normal","Liver Genes",0.276712688597678
"102","GTEX.OIZH.2026.SM.3NB1M","Normal","Easophagus Genes",0.3701987894176
"103","GTEX.12C56.1326.SM.5FQSV","Normal","Full Gene List",-0.123733410278059
"104","GTEX.12C56.1326.SM.5FQSV","Normal","642 NPTR Genes",0.107255613968752
"105","GTEX.12C56.1326.SM.5FQSV","Normal","301 NPTR Genes",0.213730179323357
"106","GTEX.12C56.1326.SM.5FQSV","Normal","30 NPTR GOI",-0.208249029009847
"107","GTEX.12C56.1326.SM.5FQSV","Normal","Liver Genes",0.166182519620822
"108","GTEX.12C56.1326.SM.5FQSV","Normal","Easophagus Genes",0.167655265660521
"109","GTEX.139T6.1526.SM.5P9G6","Normal","Full Gene List",-0.0800741357299528
"110","GTEX.139T6.1526.SM.5P9G6","Normal","642 NPTR Genes",0.095096659814716
"111","GTEX.139T6.1526.SM.5P9G6","Normal","301 NPTR Genes",0.180087180430055
"112","GTEX.139T6.1526.SM.5P9G6","Normal","30 NPTR GOI",0.12382057590514
"113","GTEX.139T6.1526.SM.5P9G6","Normal","Liver Genes",0.168043440987265
"114","GTEX.139T6.1526.SM.5P9G6","Normal","Easophagus Genes",0.212803469813206
"115","GTEX.13RTJ.2126.SM.5S2PZ","Normal","Full Gene List",-0.0618564502488908
"116","GTEX.13RTJ.2126.SM.5S2PZ","Normal","642 NPTR Genes",0.215692383824748
"117","GTEX.13RTJ.2126.SM.5S2PZ","Normal","301 NPTR Genes",0.28197477538706
"118","GTEX.13RTJ.2126.SM.5S2PZ","Normal","30 NPTR GOI",0.104404246575447
"119","GTEX.13RTJ.2126.SM.5S2PZ","Normal","Liver Genes",0.312213379523126
"120","GTEX.13RTJ.2126.SM.5S2PZ","Normal","Easophagus Genes",0.480283006556833
"121","GTEX.13N2G.1826.SM.5KM1I","Normal","Full Gene List",0.107662975098527
"122","GTEX.13N2G.1826.SM.5KM1I","Normal","642 NPTR Genes",-0.11783993322994
"123","GTEX.13N2G.1826.SM.5KM1I","Normal","301 NPTR Genes",-0.0462003874471947
"124","GTEX.13N2G.1826.SM.5KM1I","Normal","30 NPTR GOI",-0.248941616435339
"125","GTEX.13N2G.1826.SM.5KM1I","Normal","Liver Genes",-0.104151684270696
"126","GTEX.13N2G.1826.SM.5KM1I","Normal","Easophagus Genes",-0.0575692842190763
"127","GTEX.13FTW.1226.SM.5LZZ1","Normal","Full Gene List",-0.027583856858036
